iter	Passed	Remaining
0	1	128
1	2	121
2	3	124
3	4	117
4	5	111
5	6	107
6	8	106
7	9	105
8	10	104
9	11	104
10	12	103
11	13	102
12	14	100
13	16	98
14	17	97
15	18	97
16	19	97
17	21	96
18	22	95
19	23	94
20	24	93
21	25	92
22	27	91
23	28	88
24	29	87
25	29	85
26	30	83
27	31	82
28	33	80
29	34	79
30	35	78
31	36	76
32	37	75
33	38	74
34	39	73
35	41	72
36	42	72
37	43	70
38	44	69
39	45	68
40	46	67
41	47	65
42	48	64
43	49	63
44	50	61
45	51	60
46	52	59
47	54	58
48	55	57
49	56	56
50	57	55
51	59	54
52	60	53
53	61	52
54	62	50
55	63	49
56	64	48
57	65	47
58	66	46
59	67	44
60	68	44
61	70	42
62	71	41
63	72	40
64	73	39
65	74	38
66	75	37
67	77	36
68	78	35
69	79	34
70	80	32
71	81	31
72	82	30
73	83	29
74	84	28
75	86	27
76	86	25
77	88	24
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	94	18
84	95	16
85	96	15
86	97	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	8
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	111	1
99	112	0
